QuSpin		
Mag#1:   Z2.0-00KW	29.04.2022	13:56:32
Time [s]	Magnetic Field [pT]	Magnetic Field (filtered) [pT]
0.005	-16.800	-17.702
0.010	-18.220	-17.483
0.015	-18.360	-17.482
0.020	-16.500	-17.266
0.025	-16.270	-17.171
0.030	-18.340	-17.538
0.035	-18.300	-17.383
0.040	-16.850	-17.655
0.045	-16.590	-17.495
0.050	-18.570	-17.745
0.055	-18.550	-17.635
0.060	-16.990	-17.821
0.065	-16.850	-17.753
0.070	-18.200	-17.396
0.075	-18.290	-17.421
0.080	-16.440	-17.265
0.085	-16.410	-17.287
0.090	-18.420	-17.557
0.095	-18.610	-17.699
0.100	-16.550	-17.436
0.105	-16.750	-17.663
0.110	-18.390	-17.486
0.115	-18.270	-17.383
0.120	-16.790	-17.689
0.125	-16.680	-17.549
0.130	-18.420	-17.524
0.135	-18.400	-17.537
0.140	-16.680	-17.581
0.145	-16.570	-17.438
0.150	-18.220	-17.331
0.155	-18.470	-17.591
0.160	-16.650	-17.529
0.165	-16.680	-17.560
0.170	-18.440	-17.552
0.175	-18.300	-17.434
0.180	-16.850	-17.728
0.185	-16.560	-17.424
0.190	-18.150	-17.305
0.195	-17.940	-17.108
0.200	-16.580	-17.417
0.205	-16.340	-17.162
0.210	-18.220	-17.385
0.215	-17.890	-17.082
0.220	-16.540	-17.377
0.225	-16.520	-17.302
0.230	-18.420	-17.564
0.235	-18.290	-17.498
0.240	-16.520	-17.394
0.245	-16.400	-17.212
0.250	-18.100	-17.236
0.255	-18.050	-17.240
0.260	-16.270	-17.145
0.265	-16.440	-17.245
0.270	-18.150	-17.261
0.275	-17.840	-17.056
0.280	-16.240	-17.144
0.285	-16.640	-17.387
0.290	-17.890	-16.994
0.295	-17.790	-17.080
0.300	-16.460	-17.329
0.305	-16.250	-16.961
0.310	-18.240	-17.366
0.315	-17.820	-17.106
0.320	-16.050	-16.963
0.325	-16.080	-16.813
0.330	-17.960	-17.035
0.335	-18.090	-17.316
0.340	-16.360	-17.269
0.345	-16.570	-17.339
0.350	-18.430	-17.496
0.355	-18.490	-17.691
0.360	-16.590	-17.526
0.365	-16.520	-17.351
0.370	-18.300	-17.373
0.375	-17.840	-17.035
0.380	-15.920	-16.896
0.385	-16.820	-17.575
0.390	-18.490	-17.454
0.395	-18.300	-17.551
0.400	-16.530	-17.567
0.405	-16.650	-17.408
0.410	-18.320	-17.296
0.415	-18.410	-17.634
0.420	-16.660	-17.659
0.425	-17.090	-17.846
0.430	-18.620	-17.618
0.435	-17.950	-17.252
0.440	-16.000	-17.060
0.445	-16.740	-17.415
0.450	-18.440	-17.344
0.455	-17.850	-17.203
0.460	-16.390	-17.486
0.465	-16.840	-17.453
0.470	-18.560	-17.455
0.475	-18.340	-17.715
0.480	-16.510	-17.612
0.485	-16.790	-17.431
0.490	-18.260	-17.188
0.495	-18.090	-17.455
0.500	-16.550	-17.591
0.505	-16.760	-17.393
0.510	-18.420	-17.393
0.515	-17.960	-17.339
0.520	-16.220	-17.261
0.525	-16.760	-17.370
0.530	-18.610	-17.540
0.535	-18.210	-17.588
0.540	-16.640	-17.700
0.545	-16.950	-17.568
0.550	-18.760	-17.696
0.555	-17.930	-17.340
0.560	-16.440	-17.524
0.565	-16.950	-17.516
0.570	-18.380	-17.311
0.575	-18.260	-17.687
0.580	-16.320	-17.386
0.585	-16.800	-17.392
0.590	-18.360	-17.299
0.595	-17.990	-17.403
0.600	-16.410	-17.458
0.605	-17.110	-17.667
0.610	-18.610	-17.552
0.615	-17.840	-17.323
0.620	-16.340	-17.413
0.625	-16.980	-17.473
0.630	-18.390	-17.323
0.635	-18.180	-17.679
0.640	-16.900	-17.915
0.645	-16.890	-17.406
0.650	-18.370	-17.405
0.655	-18.160	-17.631
0.660	-16.740	-17.673
0.665	-17.030	-17.560
0.670	-18.660	-17.730
0.675	-17.730	-17.236
0.680	-16.340	-17.302
0.685	-16.690	-17.181
0.690	-18.290	-17.331
0.695	-17.940	-17.433
0.700	-16.650	-17.582
0.705	-17.340	-17.807
0.710	-18.520	-17.594
0.715	-18.270	-17.811
0.720	-16.260	-17.215
0.725	-16.800	-17.298
0.730	-18.470	-17.493
0.735	-17.750	-17.260
0.740	-16.420	-17.404
0.745	-17.190	-17.640
0.750	-18.270	-17.296
0.755	-18.010	-17.574
0.760	-16.370	-17.338
0.765	-17.380	-17.788
0.770	-18.900	-17.883
0.775	-18.020	-17.636
0.780	-16.460	-17.514
0.785	-16.950	-17.349
0.790	-18.390	-17.346
0.795	-17.720	-17.331
0.800	-15.840	-16.927
0.805	-16.850	-17.238
0.810	-18.150	-17.045
0.815	-17.430	-17.066
0.820	-16.310	-17.392
0.825	-16.810	-17.156
0.830	-18.550	-17.457
0.835	-17.840	-17.475
0.840	-16.180	-17.295
0.845	-16.600	-17.001
0.850	-18.400	-17.279
0.855	-17.360	-16.966
0.860	-16.240	-17.360
0.865	-16.710	-17.088
0.870	-18.490	-17.363
0.875	-17.760	-17.362
0.880	-16.040	-17.190
0.885	-17.190	-17.566
0.890	-18.490	-17.320
0.895	-17.960	-17.587
0.900	-16.200	-17.374
0.905	-16.990	-17.378
0.910	-18.320	-17.157
0.915	-17.560	-17.192
0.920	-15.870	-17.050
0.925	-16.910	-17.266
